Data_Retirada,SKU,Kg_Retirar_Hoje,Kg_Descongelando,Kg_Disponivel_Hoje,Idade_Lote_Descongelado,Validade_Max,Risco_Vencimento
2025-06-20,SKU_01,106.18,144.58,95.88,4,3,True
2025-06-20,SKU_02,139.53,89.04,39.0,2,3,True
2025-06-20,SKU_03,179.93,106.12,93.73,4,3,True
2025-06-20,SKU_04,195.49,131.57,49.11,3,3,True
2025-06-20,SKU_05,77.51,73.47,77.23,3,3,True
2025-06-20,SKU_06,53.46,97.73,65.99,3,5,False
2025-06-20,SKU_07,196.06,65.6,38.15,2,5,False
2025-06-20,SKU_08,107.37,148.16,72.01,4,5,True
2025-06-20,SKU_09,141.13,58.76,35.85,3,5,False
2025-06-20,SKU_10,191.33,101.96,64.69,1,5,False
2025-06-19,SKU_01,64.65,115.27,69.61,3,3,True
2025-06-19,SKU_02,124.28,43.78,111.84,3,3,True
2025-06-19,SKU_03,77.34,123.09,68.26,1,3,False
2025-06-19,SKU_04,135.16,43.44,105.81,3,3,True
2025-06-19,SKU_05,190.92,138.43,83.81,3,3,True
2025-06-19,SKU_06,56.78,75.79,64.98,1,5,False
2025-06-19,SKU_07,130.95,104.54,116.87,3,5,False
2025-06-19,SKU_08,131.4,55.5,102.2,0,5,False
2025-06-19,SKU_09,52.35,86.57,65.54,2,5,False
2025-06-19,SKU_10,79.83,118.25,101.12,2,5,False
2025-06-18,SKU_01,61.11,79.43,40.43,0,3,False
2025-06-18,SKU_02,143.49,76.4,35.72,4,3,True
2025-06-18,SKU_03,159.44,110.13,109.85,0,3,False
2025-06-18,SKU_04,107.44,146.89,106.4,4,3,True
2025-06-18,SKU_05,134.19,124.81,74.44,0,3,False
2025-06-18,SKU_06,156.6,52.2,69.54,2,5,False
2025-06-18,SKU_07,54.71,110.01,58.29,3,5,False
2025-06-18,SKU_08,186.13,67.42,66.93,2,5,False
2025-06-18,SKU_09,80.46,143.71,83.9,2,5,False
2025-06-18,SKU_10,74.18,142.27,102.73,0,5,False
2025-06-17,SKU_01,65.82,90.22,49.66,3,3,True
2025-06-17,SKU_02,183.88,99.33,102.67,3,3,True
2025-06-17,SKU_03,103.44,139.75,54.49,2,3,True
2025-06-17,SKU_04,114.07,129.98,107.47,2,3,True
2025-06-17,SKU_05,112.61,64.43,40.79,3,3,True
2025-06-17,SKU_06,86.62,58.51,49.69,0,5,False
2025-06-17,SKU_07,110.58,47.14,52.85,3,5,False
2025-06-17,SKU_08,87.77,94.7,57.08,0,5,False
2025-06-17,SKU_09,199.66,69.35,117.9,3,5,False
2025-06-17,SKU_10,57.72,70.65,111.74,2,5,False
2025-06-16,SKU_01,152.11,98.4,70.3,3,3,True
2025-06-16,SKU_02,62.13,80.66,51.79,4,3,True
2025-06-16,SKU_03,144.85,109.69,78.22,0,3,False
2025-06-16,SKU_04,72.61,95.9,92.62,2,3,True
2025-06-16,SKU_05,138.63,114.53,31.49,2,3,True
2025-06-16,SKU_06,171.43,78.35,38.66,0,5,False
2025-06-16,SKU_07,153.64,82.54,114.31,0,5,False
2025-06-16,SKU_08,151.35,120.87,48.82,1,5,False
2025-06-16,SKU_09,88.69,112.6,103.55,0,5,False
2025-06-16,SKU_10,127.5,68.69,119.66,3,5,False
2025-06-15,SKU_01,133.74,137.09,46.98,0,3,False
2025-06-15,SKU_02,102.38,119.86,110.74,0,3,False
2025-06-15,SKU_03,146.3,49.26,44.55,3,3,True
2025-06-15,SKU_04,137.1,80.95,114.61,0,3,False
2025-06-15,SKU_05,50.76,57.69,79.39,2,3,True
2025-06-15,SKU_06,147.79,64.67,94.1,0,5,False
2025-06-15,SKU_07,124.08,59.67,62.98,2,5,False
2025-06-15,SKU_08,148.64,102.51,38.43,2,5,False
2025-06-15,SKU_09,145.45,67.55,83.09,4,5,True
2025-06-15,SKU_10,123.01,139.67,69.1,4,5,True
2025-06-14,SKU_01,125.4,103.46,74.33,4,3,True
2025-06-14,SKU_02,84.53,94.91,81.48,0,3,False
2025-06-14,SKU_03,56.54,149.4,72.3,4,3,True
2025-06-14,SKU_04,182.52,122.25,115.78,4,3,True
2025-06-14,SKU_05,114.23,146.33,116.73,0,3,False
2025-06-14,SKU_06,61.3,73.63,47.18,0,5,False
2025-06-14,SKU_07,97.54,58.64,80.11,1,5,False
2025-06-14,SKU_08,189.5,47.75,48.8,1,5,False
2025-06-14,SKU_09,88.12,72.48,59.03,0,5,False
2025-06-14,SKU_10,70.49,117.98,79.75,1,5,False
2025-06-13,SKU_01,171.4,129.11,108.04,4,3,True
2025-06-13,SKU_02,62.24,40.57,86.51,3,3,True
2025-06-13,SKU_03,147.49,117.22,101.62,3,3,True
2025-06-13,SKU_04,182.99,43.04,82.1,2,3,True
2025-06-13,SKU_05,119.84,99.69,55.79,1,3,False
2025-06-13,SKU_06,179.06,67.53,33.5,2,5,False
2025-06-13,SKU_07,69.06,97.45,99.3,3,5,False
2025-06-13,SKU_08,194.79,90.3,105.78,3,5,False
2025-06-13,SKU_09,111.7,116.95,42.45,4,5,True
2025-06-13,SKU_10,195.43,118.61,33.7,2,5,False
2025-06-12,SKU_01,115.85,48.63,32.28,4,3,True
2025-06-12,SKU_02,62.13,87.11,91.96,0,3,False
2025-06-12,SKU_03,75.99,57.21,52.52,0,3,False
2025-06-12,SKU_04,149.03,70.79,115.94,4,3,True
2025-06-12,SKU_05,141.76,86.16,52.3,2,3,True
2025-06-12,SKU_06,163.68,41.58,40.45,4,5,True
2025-06-12,SKU_07,64.12,74.26,118.16,4,5,True
2025-06-12,SKU_08,121.13,50.76,74.25,3,5,False
2025-06-12,SKU_09,75.98,87.72,65.87,1,5,False
2025-06-12,SKU_10,192.37,137.53,53.48,1,5,False
2025-06-11,SKU_01,143.88,95.34,107.08,4,3,True
2025-06-11,SKU_02,152.59,107.74,114.95,1,3,False
2025-06-11,SKU_03,53.98,104.44,114.62,3,3,True
2025-06-11,SKU_04,108.23,110.76,71.24,2,3,True
2025-06-11,SKU_05,173.1,108.85,103.84,1,3,False
