Data_Retirada,SKU,Kg_Retirar_Hoje,Kg_Descongelando,Kg_Disponivel_Hoje,Idade_Lote_Descongelado,Validade_Max,Risco_Vencimento
2025-06-20,SKU_01,106.18,144.58,95.88,4,3,True
2025-06-20,SKU_02,139.53,89.04,39.0,2,3,True
2025-06-20,SKU_03,179.93,106.12,93.73,4,3,True
2025-06-20,SKU_04,195.49,131.57,49.11,3,3,True
2025-06-20,SKU_05,77.51,73.47,77.23,3,3,True
2025-06-20,SKU_08,107.37,148.16,72.01,4,5,True
2025-06-19,SKU_01,64.65,115.27,69.61,3,3,True
2025-06-19,SKU_02,124.28,43.78,111.84,3,3,True
2025-06-19,SKU_04,135.16,43.44,105.81,3,3,True
2025-06-19,SKU_05,190.92,138.43,83.81,3,3,True
2025-06-18,SKU_02,143.49,76.4,35.72,4,3,True
2025-06-18,SKU_04,107.44,146.89,106.4,4,3,True
2025-06-17,SKU_01,65.82,90.22,49.66,3,3,True
2025-06-17,SKU_02,183.88,99.33,102.67,3,3,True
2025-06-17,SKU_03,103.44,139.75,54.49,2,3,True
2025-06-17,SKU_04,114.07,129.98,107.47,2,3,True
2025-06-17,SKU_05,112.61,64.43,40.79,3,3,True
2025-06-16,SKU_01,152.11,98.4,70.3,3,3,True
2025-06-16,SKU_02,62.13,80.66,51.79,4,3,True
2025-06-16,SKU_04,72.61,95.9,92.62,2,3,True
2025-06-16,SKU_05,138.63,114.53,31.49,2,3,True
2025-06-15,SKU_03,146.3,49.26,44.55,3,3,True
2025-06-15,SKU_05,50.76,57.69,79.39,2,3,True
2025-06-15,SKU_09,145.45,67.55,83.09,4,5,True
2025-06-15,SKU_10,123.01,139.67,69.1,4,5,True
2025-06-14,SKU_01,125.4,103.46,74.33,4,3,True
2025-06-14,SKU_03,56.54,149.4,72.3,4,3,True
2025-06-14,SKU_04,182.52,122.25,115.78,4,3,True
2025-06-13,SKU_01,171.4,129.11,108.04,4,3,True
2025-06-13,SKU_02,62.24,40.57,86.51,3,3,True
2025-06-13,SKU_03,147.49,117.22,101.62,3,3,True
2025-06-13,SKU_04,182.99,43.04,82.1,2,3,True
2025-06-13,SKU_09,111.7,116.95,42.45,4,5,True
2025-06-12,SKU_01,115.85,48.63,32.28,4,3,True
2025-06-12,SKU_04,149.03,70.79,115.94,4,3,True
2025-06-12,SKU_05,141.76,86.16,52.3,2,3,True
2025-06-12,SKU_06,163.68,41.58,40.45,4,5,True
2025-06-12,SKU_07,64.12,74.26,118.16,4,5,True
2025-06-11,SKU_01,143.88,95.34,107.08,4,3,True
2025-06-11,SKU_03,53.98,104.44,114.62,3,3,True
2025-06-11,SKU_04,108.23,110.76,71.24,2,3,True
2025-06-11,SKU_10,144.34,136.52,96.16,4,5,True
2025-06-10,SKU_01,195.14,100.28,68.11,2,3,True
2025-06-10,SKU_02,198.58,85.39,63.48,4,3,True
2025-06-10,SKU_03,85.79,114.78,96.59,2,3,True
2025-06-10,SKU_05,98.01,138.51,65.03,3,3,True
2025-06-10,SKU_07,192.51,144.57,81.61,4,5,True
2025-06-10,SKU_08,63.76,106.27,79.83,4,5,True
2025-06-10,SKU_09,162.86,127.07,101.07,4,5,True
2025-06-09,SKU_04,109.5,138.11,43.19,4,3,True
2025-06-09,SKU_06,182.05,66.04,111.69,4,5,True
2025-06-09,SKU_07,163.01,81.39,37.52,4,5,True
2025-06-08,SKU_02,106.23,71.43,108.17,4,3,True
2025-06-08,SKU_03,194.48,41.34,117.29,4,3,True
2025-06-08,SKU_04,98.4,44.77,113.22,3,3,True
2025-06-07,SKU_02,91.96,85.23,84.25,4,3,True
2025-06-07,SKU_03,69.98,48.38,114.65,2,3,True
2025-06-07,SKU_07,107.13,146.69,105.79,4,5,True
2025-06-07,SKU_08,59.53,44.05,42.05,4,5,True
2025-06-07,SKU_09,58.46,135.12,103.16,4,5,True
2025-06-07,SKU_10,199.5,101.1,99.21,4,5,True
2025-06-06,SKU_05,177.83,100.71,80.48,2,3,True
2025-06-06,SKU_06,110.52,54.74,32.59,4,5,True
2025-06-05,SKU_03,143.12,78.22,48.82,2,3,True
2025-06-05,SKU_04,86.02,48.34,41.6,2,3,True
2025-06-04,SKU_01,122.17,115.66,76.05,2,3,True
2025-06-04,SKU_05,55.5,67.77,94.2,2,3,True
2025-06-03,SKU_02,134.67,81.66,60.37,3,3,True
2025-06-03,SKU_03,146.89,102.79,62.05,4,3,True
2025-06-03,SKU_04,99.55,142.71,30.68,4,3,True
2025-06-03,SKU_05,72.93,67.06,44.46,2,3,True
2025-06-02,SKU_01,92.0,124.64,46.83,3,3,True
2025-06-02,SKU_03,141.59,71.75,82.31,2,3,True
2025-06-02,SKU_06,98.35,129.09,52.92,4,5,True
2025-06-01,SKU_01,176.27,55.37,101.57,3,3,True
2025-06-01,SKU_02,74.55,58.07,103.31,2,3,True
2025-06-01,SKU_04,108.87,129.83,69.52,2,3,True
2025-06-01,SKU_06,84.83,138.95,64.55,4,5,True
2025-06-01,SKU_08,144.16,76.84,42.53,4,5,True
2025-06-01,SKU_09,124.31,121.56,81.58,4,5,True
2025-05-31,SKU_01,55.03,102.69,98.62,2,3,True
2025-05-31,SKU_02,163.2,51.32,78.28,3,3,True
2025-05-31,SKU_03,118.55,106.44,75.21,4,3,True
2025-05-31,SKU_04,122.95,84.99,99.47,2,3,True
2025-05-31,SKU_05,146.17,116.33,78.85,2,3,True
2025-05-31,SKU_09,65.33,141.06,101.11,4,5,True
2025-05-30,SKU_02,188.84,89.59,40.19,4,3,True
2025-05-30,SKU_04,180.48,97.07,83.21,4,3,True
2025-05-29,SKU_02,194.16,56.35,67.32,3,3,True
2025-05-29,SKU_03,130.26,60.29,56.96,4,3,True
2025-05-29,SKU_04,109.6,86.95,101.98,4,3,True
2025-05-29,SKU_05,143.75,81.55,105.29,2,3,True
2025-05-29,SKU_10,170.11,147.68,105.58,4,5,True
2025-05-28,SKU_01,111.2,100.69,52.85,2,3,True
2025-05-28,SKU_02,125.83,105.46,60.53,4,3,True
